SeqLen,Time_Sec,TFLOPs,Intensity
1024,0.00031932049978422583,13.450333752146307,256.0
2048,0.0010550345000410744,16.283703692468027,512.0
4096,0.003537319000088246,19.4269944933679,1024.0
8192,0.013298442999939653,20.669931581106702,2048.0
16384,0.053030697999929544,20.733493415030306,4096.0
